"UnitName"	"UnitType"	"Stimulus"	"StimNumber"	"isi.sec"	"Zoom"
"SC-17-1"	"Joint"	"sadness"	3	0.05	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.046	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.052	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.051	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.051	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.052	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.053	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.053	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.05	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.053	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.053	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.055	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.055	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.052	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.055	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.055	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.052	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.059	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.059	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.061	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.061	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.057	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.054	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.054	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.058	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.057	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.053	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.061	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.061	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.061	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.06	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.066	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.06	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.063	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.061	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.062	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.063	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.063	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.061	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.067	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.062	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.064	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.06	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.066	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.063	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.065	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.063	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.07	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.067	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.068	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.068	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.067	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.067	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.07	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.069	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.066	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.072	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.068	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.071	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.072	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.067	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.071	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.071	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.071	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.072	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.076	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.077	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.08	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.073	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.075	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.076	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.072	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.076	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.071	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.072	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.076	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.076	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.073	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.07	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.078	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.082	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.078	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.079	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.076	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.073	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.078	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.076	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.077	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.071	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.077	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.075	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.076	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.078	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.072	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.075	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.079	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.077	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.075	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.073	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.08	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.076	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.074	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.077	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.081	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.081	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.084	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.083	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.084	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.082	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.108	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.065	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.09	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.09	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.091	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.086	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.089	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.088	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.082	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.083	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.088	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.087	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.09	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.091	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.104	"201.3"
"SC-17-1"	"Joint"	"sadness"	3	0.259	"201.3"
