Spike.time.sec	Comment.time.sec	Comment	UnitName	UnitType	StimNumber	Stimulus	isi.sec
29.1435	24.25	attention	SC-13-2	HFA	3	attention	0.3291000000000004
29.16895	24.25	attention	SC-13-2	HFA	3	attention	0.025449999999999307
29.18325	24.25	attention	SC-13-2	HFA	3	attention	0.0143000000000022
30.41685	24.25	attention	SC-13-2	HFA	3	attention	1.2335999999999991
30.4322	24.25	attention	SC-13-2	HFA	3	attention	0.015350000000001529
30.45705	24.25	attention	SC-13-2	HFA	3	attention	0.024849999999997152
30.6148	24.25	attention	SC-13-2	HFA	3	attention	0.15775000000000006
30.64295	24.25	attention	SC-13-2	HFA	3	attention	0.02815000000000012
31.0432	24.25	attention	SC-13-2	HFA	3	attention	0.4002499999999998
31.05425	24.25	attention	SC-13-2	HFA	3	attention	0.011050000000000892
31.17325	24.25	attention	SC-13-2	HFA	3	attention	0.11899999999999977
31.1789	24.25	attention	SC-13-2	HFA	3	attention	0.005649999999999267
31.22165	24.25	attention	SC-13-2	HFA	3	attention	0.04275000000000162
31.2393	24.25	attention	SC-13-2	HFA	3	attention	0.01764999999999972
32.45395	24.25	attention	SC-13-2	HFA	3	attention	1.214649999999999
32.6236	24.25	attention	SC-13-2	HFA	3	attention	0.1696500000000043
32.6329	24.25	attention	SC-13-2	HFA	3	attention	0.00929999999999609
32.66175	24.25	attention	SC-13-2	HFA	3	attention	0.028849999999998488
32.82295	24.25	attention	SC-13-2	HFA	3	attention	0.1612000000000009
32.8268	24.25	attention	SC-13-2	HFA	3	attention	0.003849999999999909
32.85595	24.25	attention	SC-13-2	HFA	3	attention	0.02915000000000134
32.8733	24.25	attention	SC-13-2	HFA	3	attention	0.01735000000000042
33.0717	24.25	attention	SC-13-2	HFA	3	attention	0.19839999999999947
33.0787	24.25	attention	SC-13-2	HFA	3	attention	0.006999999999997897
37.9604	36.43	calming	SC-13-2	HFA	4	calming	NA
37.9811	36.43	calming	SC-13-2	HFA	4	calming	0.020699999999997942
