UnitName,UnitType,StimNumber,Stimulus,isi.sec,Presentation,time.sec,IFF
SC-17-2,MS,9,happiness,0.177,2,2.393,5.649717514124294
SC-17-2,MS,9,happiness,0.187,2,2.58,5.347593582887701
SC-17-2,MS,9,happiness,0.175,2,2.755,5.714285714285714
SC-17-2,MS,9,happiness,0.226,2,2.981,4.424778761061947
SC-17-2,MS,9,happiness,0.275,2,3.2560000000000002,3.6363636363636362
SC-17-2,MS,9,happiness,0.299,2,3.555,3.3444816053511706
SC-17-2,MS,9,happiness,0.248,2,3.803,4.032258064516129
SC-17-2,MS,9,happiness,0.574,2,4.377,1.7421602787456447
SC-17-2,MS,9,happiness,0.218,2,4.595,4.587155963302752
SC-17-2,MS,9,happiness,0.272,2,4.867,3.676470588235294
SC-17-2,MS,9,happiness,0.255,2,5.122,3.9215686274509802
SC-17-2,MS,9,happiness,0.396,2,5.518,2.525252525252525
SC-17-2,MS,9,happiness,0.492,2,6.01,2.032520325203252
SC-17-2,MS,9,happiness,0.265,2,6.275,3.773584905660377
SC-17-2,MS,9,happiness,0.365,2,6.64,2.73972602739726
SC-17-2,MS,9,happiness,0.303,2,6.943,3.3003300330033003
SC-17-2,MS,9,happiness,0.377,2,7.32,2.6525198938992043
SC-17-2,MS,9,happiness,0.783,2,8.103,1.277139208173691
SC-17-2,MS,9,happiness,0.369,2,8.472,2.710027100271003
SC-17-2,MS,9,happiness,0.386,2,8.858,2.5906735751295336
SC-17-2,MS,9,happiness,0.296,2,9.154,3.3783783783783785
SC-17-2,MS,9,happiness,0.521,2,9.675,1.9193857965451055
SC-17-2,MS,9,happiness,0.331,2,10.006,3.021148036253776
SC-17-2,MS,9,happiness,0.151,2,10.157,6.622516556291391
SC-17-2,MS,9,happiness,0.258,2,10.415,3.875968992248062
SC-17-2,MS,9,happiness,0.295,2,10.71,3.3898305084745766
SC-17-2,MS,9,happiness,0.259,2,10.969,3.861003861003861
SC-17-2,MS,9,happiness,0.258,2,11.227,3.875968992248062
SC-17-2,MS,9,happiness,0.254,2,11.481,3.937007874015748
SC-17-2,MS,9,happiness,0.338,2,11.819,2.9585798816568047
SC-17-2,MS,9,happiness,0.513,2,12.332,1.949317738791423
SC-17-2,MS,9,happiness,0.499,2,12.831,2.004008016032064
SC-17-2,MS,9,happiness,0.523,2,13.354,1.9120458891013383
SC-17-2,MS,9,happiness,0.16,2,13.514,6.25
SC-17-2,MS,9,happiness,0.136,2,13.65,7.352941176470588
SC-17-2,MS,9,happiness,0.23,2,13.88,4.3478260869565215
SC-17-2,MS,9,happiness,0.231,2,14.111,4.329004329004329
SC-17-2,MS,9,happiness,0.811,2,14.922,1.2330456226880393
SC-17-2,MS,9,happiness,0.232,2,15.154,4.310344827586206
SC-17-2,MS,9,happiness,0.297,2,15.451,3.367003367003367
SC-17-2,MS,9,happiness,0.184,2,15.635,5.434782608695652
SC-17-2,MS,9,happiness,0.314,2,15.949,3.1847133757961785
SC-17-2,MS,9,happiness,0.258,2,16.207,3.875968992248062
SC-17-2,MS,9,happiness,0.304,2,16.511,3.2894736842105265
SC-17-2,MS,9,happiness,0.301,2,16.812,3.3222591362126246
SC-17-2,MS,9,happiness,0.239,2,17.051000000000002,4.184100418410042
SC-17-2,MS,9,happiness,0.335,2,17.386,2.9850746268656714
SC-17-2,MS,9,happiness,0.248,2,17.634,4.032258064516129
SC-17-2,MS,9,happiness,0.328,2,17.962,3.048780487804878
SC-17-2,MS,9,happiness,0.288,2,18.25,3.4722222222222223
SC-17-2,MS,9,happiness,0.901,2,19.151,1.1098779134295227
SC-17-2,MS,9,happiness,0.714,2,19.865,1.400560224089636
SC-17-2,MS,9,happiness,0.164,2,20.029,6.097560975609756
SC-17-2,MS,9,happiness,0.236,2,20.265,4.237288135593221
SC-17-2,MS,9,happiness,0.215,2,20.48,4.651162790697675
SC-17-2,MS,10,sadness,0.204,2,0.204,4.901960784313726
SC-17-2,MS,10,sadness,1.951,2,2.1550000000000002,0.5125576627370579
SC-17-2,MS,10,sadness,0.187,2,2.342,5.347593582887701
SC-17-2,MS,10,sadness,1.478,2,3.82,0.6765899864682002
SC-17-2,MS,10,sadness,1.103,2,4.923,0.9066183136899365
SC-17-2,MS,10,sadness,0.314,2,5.237,3.1847133757961785
SC-17-2,MS,10,sadness,0.566,2,5.803,1.76678445229682
SC-17-2,MS,10,sadness,0.215,2,6.018,4.651162790697675
SC-17-2,MS,10,sadness,0.226,2,6.244,4.424778761061947
SC-17-2,MS,10,sadness,0.157,2,6.401,6.369426751592357
SC-17-2,MS,10,sadness,0.221,2,6.622,4.524886877828054
SC-17-2,MS,10,sadness,0.228,2,6.85,4.385964912280701
SC-17-2,MS,10,sadness,2.809,2,9.659,0.35599857600569595
SC-17-2,MS,10,sadness,0.132,2,9.791,7.575757575757575
SC-17-2,MS,10,sadness,0.062,2,9.853,16.129032258064516
SC-17-2,MS,10,sadness,0.132,2,9.985,7.575757575757575
SC-17-2,MS,10,sadness,0.157,2,10.142,6.369426751592357
SC-17-2,MS,10,sadness,0.546,2,10.688,1.8315018315018314
SC-17-2,MS,10,sadness,1.682,2,12.370000000000001,0.5945303210463734
SC-17-2,MS,11,love,0.156,2,0.156,6.410256410256411
SC-17-2,MS,11,love,0.984,2,1.14,1.016260162601626
SC-17-2,MS,11,love,2.607,2,3.7470000000000003,0.3835826620636747
SC-17-2,MS,11,love,2.329,2,6.0760000000000005,0.4293688278231
SC-17-2,MS,11,love,4.349,2,10.425,0.22993791676247413
SC-17-2,MS,12,calming,0.423,2,0.423,2.3640661938534278
SC-17-2,MS,12,calming,3.908,2,4.3309999999999995,0.25588536335721596
SC-17-2,MS,12,calming,3.054,2,7.385,0.3274394237066143
SC-17-2,MS,12,calming,1.229,2,8.613999999999999,0.8136696501220504
SC-17-3,MS,1,gratitude,0.14,1,0.14,7.142857142857142
SC-17-3,MS,1,gratitude,0.113,1,0.253,8.849557522123893
SC-17-3,MS,1,gratitude,0.198,1,0.451,5.05050505050505
SC-17-3,MS,1,gratitude,0.158,1,0.609,6.329113924050633
SC-17-3,MS,1,gratitude,0.119,1,0.728,8.403361344537815
SC-17-3,MS,1,gratitude,0.102,1,0.8300000000000001,9.803921568627452
SC-17-3,MS,1,gratitude,0.094,1,0.924,10.638297872340425
SC-17-3,MS,1,gratitude,0.091,1,1.0150000000000001,10.989010989010989
SC-17-3,MS,1,gratitude,0.12,1,1.135,8.333333333333334
