"UnitName"	"UnitType"	"StimNumber"	"Stimulus"	"n.spikes"	"mean.freq"	"peak.freq"	"mean.isi.sec"	"sd.isi.sec"	"cv.isi.sec"
"SC-27-3"	"SA-II"	27	"calming"	105	9.23000461500239	243.902439017984	0.108342307692307	0.341777346884132	3.15460648904381
"SC-27-3"	"SA-II"	28	"love"	93	9.10661169704673	141.843971632501	0.109810326086957	0.192954490810848	1.75716162301576
"SC-27-3"	"SA-II"	29	"attention"	92	7.79576801165082	476.190476206892	0.128274725274725	0.291995344747282	2.27632796813181
"SC-27-3"	"SA-II"	30	"sadness"	159	14.5360872165233	75.1879699244048	0.0687943037974685	0.137145157649504	1.99355397291703
"SC-27-3"	"SA-II"	31	"sadness"	231	21.3385782940273	73.260073259548	0.046863478260869	0.0536164898467104	1.14409966644495
"SC-27-3"	"SA-II"	32	"gratitude"	152	16.4984949220691	227.272727271055	0.060611589403974	0.158830742242978	2.62046819436423
"SC-27-3"	"SA-II"	33	"calming"	116	13.2224943373234	199.999999995634	0.0756286956521723	0.297553757347202	3.93440287157267
"SC-27-3"	"SA-II"	34	"attention"	82	7.46722716964426	465.116279112738	0.13391851851852	0.283301515223223	2.11547677167624
"SC-27-3"	"SA-II"	35	"love"	98	8.19374403419418	153.846153841719	0.122044329896906	0.282980523188377	2.31866997366791
"SC-27-3"	"SA-II"	36	"happiness"	85	8.98943741104205	392.15686275612	0.111241666666666	0.207925383806115	1.86913222389197
"SC-28-3"	"MS"	1	"calming"	16	3.12679139090104	26.7379679144386	0.319816666666667	0.523406153638517	1.63658185514154
"SC-28-3"	"MS"	2	"love"	34	3.14763855571082	25.0941028858233	0.317698484848485	0.352943718177215	1.11093925533053
"SC-28-3"	"MS"	3	"gratitude"	61	5.83223573896857	59.347181008909	0.171460833333333	0.245614702413489	1.43248284543208
"SC-28-3"	"MS"	4	"attention"	37	3.00802139037433	384.61538461523	0.332444444444445	0.416048324249853	1.25148225877295
"SC-28-3"	"MS"	5	"happiness"	55	4.63543186773568	156.24999999967	0.215729629629629	0.243718759491673	1.12974170451271
"SC-28-3"	"MS"	6	"sadness"	62	5.78185351058031	28.7356321839163	0.172954918032787	0.2857288494221	1.65204235110524
"SC-28-3"	"MS"	7	"sadness"	62	6.71495563726031	43.8596491227726	0.14892131147541	0.185598642339459	1.24628664964521
"SC-28-3"	"MS"	8	"calming"	19	1.9522353094293	16.9635284139154	0.512233333333334	0.567747564037569	1.10837684135661
"SC-28-3"	"MS"	9	"attention"	26	2.60699090681572	384.61538461523	0.383584	0.478754553224649	1.24810876685328
"SC-28-3"	"MS"	10	"love"	20	1.84965246003777	26.2467191601148	0.540642105263158	0.484290808314122	0.895769684971898
"SC-28-3"	"MS"	11	"happiness"	27	2.52208032825845	25.0312891113864	0.396498076923077	0.341898419265362	0.86229527749183
"SC-28-3"	"MS"	12	"gratitude"	44	3.75169044191423	30.5343511450447	0.266546511627907	0.257297398890141	0.965300192145538
"SC-28-3"	"MS"	13	"attention"	22	2.33141639096744	322.580645165369	0.428923809523808	0.520812399674552	1.21423056522033
"SC-28-3"	"MS"	14	"sadness"	58	5.46720635346929	50.1253132832222	0.182908771929824	0.255536663941023	1.39707167264271
"SC-28-3"	"MS"	15	"gratitude"	54	4.81476771016916	82.3045267488381	0.207694339622641	0.32553654832332	1.56738286134704
"SC-28-3"	"MS"	16	"happiness"	34	3.27683279215944	27.4348422496555	0.305172727272727	0.29486516041524	0.96622382691401
"SC-28-3"	"MS"	17	"calming"	33	2.75898934771458	24.1837968560932	0.362451562499999	0.39601652773517	1.09260538154025
"SC-28-3"	"MS"	18	"love"	38	3.19005392915494	29.2397660818727	0.313474324324324	0.352054360271725	1.12307239526095
"SC-28-3"	"MS"	19	"gratitude"	50	4.46854010970724	60.4229607250931	0.223786734693877	0.207411904686744	0.926828415323489
"SC-28-3"	"MS"	20	"sadness"	91	8.89292913323587	79.6812749001894	0.112448888888888	0.178127315908896	1.58407359707133
"SC-28-3"	"MS"	21	"calming"	30	3.17782100101364	26.8456375839129	0.314681034482756	0.59841731264553	1.90166310349511
"SC-28-3"	"MS"	22	"attention"	33	3.94908153002226	224.719101128335	0.253223437500001	0.365370447227425	1.4428776847618
"SC-28-3"	"MS"	23	"happiness"	43	4.35682387539485	69.2041522490835	0.229524999999999	0.229137482228883	0.998311653322659
"SC-28-3"	"MS"	24	"love"	23	2.374976385178	25.094102885821	0.421056818181817	0.547650853167512	1.30065784359542
"SC-28-3"	"MS"	25	"sadness"	50	5.42302350161311	24.5098039215745	0.184398979591836	0.275565339440604	1.49439731201639
"SC-28-3"	"MS"	26	"love"	17	1.67534004167408	42.1052631579834	0.59689375	0.515193685221106	0.863124610068553
"SC-28-3"	"MS"	27	"happiness"	19	1.92116807018668	47.6190476191425	0.520516666666664	0.5137196136713	0.98694171881394
"SC-28-3"	"MS"	28	"gratitude"	25	2.69337597845299	22.8050171038114	0.37128125	0.369523559822085	0.99526587949724
"SC-28-3"	"MS"	29	"calming"	12	1.20326412741473	11.8623962040354	0.831072727272726	0.866707604490572	1.04287816944106
"SC-28-3"	"MS"	30	"attention"	12	1.36074618372548	219.780219780475	0.734890909090909	0.972307159239858	1.32306325634459
"SC-28-3"	"MS"	31	"love"	16	1.51718975998059	9.15331807780534	0.659113333333327	0.651209363817684	0.988008178387667
"SC-28-3"	"MS"	32	"calming"	14	1.3289376166015	26.1780104711532	0.752480769230767	0.992774807366211	1.31933578632327
"SC-28-3"	"MS"	33	"attention"	14	1.46385681228289	253.164556959997	0.683126923076919	0.629464584195472	0.921446019665361
"SC-28-3"	"MS"	34	"happiness"	22	2.33083416114941	45.5580865604743	0.429030952380956	0.434409458194747	1.01253640508673
"SC-28-3"	"MS"	35	"sadness"	50	5.18471883481377	26.0756192959333	0.19287448979592	0.205106445464505	1.06341925094152
"SC-28-3"	"MS"	36	"gratitude"	25	2.45516761633914	50.0000000000455	0.407304166666667	0.449361991658294	1.1032590099331
"SC-28-4"	"MS"	1	"love"	2	5.30082162735227	5.30082162735227	0.188649999999999	NA	NA
"SC-28-4"	"MS"	2	"sadness"	1	0	0	NA	NA	NA
