 	Spikes	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
8096.708046	1.0	 	 
8097.971296	1.0	 	 
8100.243496	0.0	 	 
8100.634646	1.0	 	 
8101.419096	1.0	 	 
8101.878096	1.0	 	 
8103.272996	0.0	 	 
8106.600546	1.0	 	 
8107.024396	1.0	 	 
8107.565996	1.0	 	 
8107.877996	1.0	 	 
8109.412896	1.0	 	 
8110.600746	1.0	 	 
8110.847396	0.0	 	 
8110.849996	0.0	 	 
8111.008046	1.0	 	 
8112.051346	1.0	 	 
8112.169746	0.0	 	 
8112.170746	0.0	 	 
8112.173546	0.0	 	 
8113.165896	1.0	 	 
8113.836746	1.0	 	 
8114.805246	0.0	 	 
8118.737896	1.0	 	 
8118.780796	1.0	 	 
8118.816446	1.0	 	 
8119.432246	1.0	 	 
8119.593096	1.0	 	 
8119.628046	1.0	 	 
8119.669746	1.0	 	 
8120.606446	1.0	 	 
8121.626196	1.0	 	 
8122.260446	1.0	 	 
8122.374096	1.0	 	 
8124.108746	1.0	 	 
8124.335246	1.0	 	 
8124.373546	1.0	 	 
8124.429096	1.0	 	 
8124.453796	1.0	 	 
8124.500546	1.0	 	 
8124.545246	1.0	 	 
8124.568246	1.0	 	 
8124.592246	1.0	 	 
8124.617746	1.0	 	 
8124.670196	1.0	 	 
8124.699546	1.0	 	 
8126.937396	1.0	 	 
8126.970396	1.0	 	 
8127.023046	1.0	 	 
8127.067096	1.0	 	 
8127.113946	1.0	 	 
8136.897696	0.0	8135.6535	Happiness
8136.899796	0.0	8135.6535	Happiness
8136.901846	0.0	8135.6535	Happiness
8137.167896	0.0	8135.6535	Happiness
8137.169096	0.0	8135.6535	Happiness
8140.683496	0.0	8135.6535	Happiness
8140.684846	0.0	8135.6535	Happiness
8141.891596	1.0	8135.6535	Happiness
8142.210646	1.0	8135.6535	Happiness
8146.822746	1.0	8135.6535	Happiness
8148.231696	0.0	8135.6535	Happiness
8149.990046	0.0	8135.6535	Happiness
8150.006496	0.0	8135.6535	Happiness
8150.042346	0.0	8135.6535	Happiness
8156.455446	1.0	8154.0439	Love
8156.661146	1.0	8154.0439	Love
8156.989546	1.0	8154.0439	Love
8157.060996	1.0	8154.0439	Love
8159.324246	1.0	8154.0439	Love
8161.795196	1.0	8154.0439	Love
8161.835646	1.0	8154.0439	Love
8162.008296	1.0	8154.0439	Love
8164.297446	1.0	8154.0439	Love
8164.399996	1.0	8154.0439	Love
8171.039846	0.0	8170.763	Sadness
8172.798746	1.0	8170.763	Sadness
8172.962096	1.0	8170.763	Sadness
8173.037246	1.0	8170.763	Sadness
8173.187996	1.0	8170.763	Sadness
8173.311446	1.0	8170.763	Sadness
8173.403096	1.0	8170.763	Sadness
8173.527546	1.0	8170.763	Sadness
8173.986096	0.0	8170.763	Sadness
8173.987246	0.0	8170.763	Sadness
8174.061096	1.0	8170.763	Sadness
8174.552096	1.0	8170.763	Sadness
8176.043646	1.0	8170.763	Sadness
8176.581346	1.0	8170.763	Sadness
8180.124896	0.0	8170.763	Sadness
8180.128446	0.0	8170.763	Sadness
8180.131746	0.0	8170.763	Sadness
8180.203196	0.0	8170.763	Sadness
8182.443996	0.0	8170.763	Sadness
8182.445996	0.0	8170.763	Sadness
8187.635196	0.0	8187.4861	Attention
8188.506946	0.0	8187.4861	Attention
8188.516196	0.0	8187.4861	Attention
8188.896446	1.0	8187.4861	Attention
8188.951546	0.0	8187.4861	Attention
8188.952546	0.0	8187.4861	Attention
8188.954146	0.0	8187.4861	Attention
8188.955146	0.0	8187.4861	Attention
8189.136446	0.0	8187.4861	Attention
8189.137746	0.0	8187.4861	Attention
8189.138796	0.0	8187.4861	Attention
8189.139996	0.0	8187.4861	Attention
8189.141146	0.0	8187.4861	Attention
8189.341046	0.0	8187.4861	Attention
8189.342346	0.0	8187.4861	Attention
8189.343996	0.0	8187.4861	Attention
8189.345546	0.0	8187.4861	Attention
8189.346996	0.0	8187.4861	Attention
8189.348146	0.0	8187.4861	Attention
8189.551446	0.0	8187.4861	Attention
8189.552446	0.0	8187.4861	Attention
8189.553646	0.0	8187.4861	Attention
8189.556196	0.0	8187.4861	Attention
8189.557596	0.0	8187.4861	Attention
8189.558746	0.0	8187.4861	Attention
8189.725146	1.0	8187.4861	Attention
8191.074946	0.0	8187.4861	Attention
8191.076046	0.0	8187.4861	Attention
8191.083696	0.0	8187.4861	Attention
8191.512396	0.0	8187.4861	Attention
8191.519046	0.0	8187.4861	Attention
8191.659796	1.0	8187.4861	Attention
8192.101446	0.0	8187.4861	Attention
8192.102846	0.0	8187.4861	Attention
8192.104146	0.0	8187.4861	Attention
8192.105646	0.0	8187.4861	Attention
8192.303296	0.0	8187.4861	Attention
8192.306196	0.0	8187.4861	Attention
8192.307446	0.0	8187.4861	Attention
8192.309446	0.0	8187.4861	Attention
8194.441446	0.0	8187.4861	Attention
8194.443296	0.0	8187.4861	Attention
8194.444946	0.0	8187.4861	Attention
8194.446896	0.0	8187.4861	Attention
8194.447896	0.0	8187.4861	Attention
8194.449146	0.0	8187.4861	Attention
8194.675496	0.0	8187.4861	Attention
8194.676646	0.0	8187.4861	Attention
8194.679246	0.0	8187.4861	Attention
8194.878296	0.0	8187.4861	Attention
8194.879296	0.0	8187.4861	Attention
8194.880646	0.0	8187.4861	Attention
8194.884746	0.0	8187.4861	Attention
8194.885796	0.0	8187.4861	Attention
8195.090796	0.0	8187.4861	Attention
8195.092796	0.0	8187.4861	Attention
8195.094296	0.0	8187.4861	Attention
8195.096546	0.0	8187.4861	Attention
8195.097696	0.0	8187.4861	Attention
8195.100396	0.0	8187.4861	Attention
8195.304196	0.0	8187.4861	Attention
8195.306396	0.0	8187.4861	Attention
8195.311496	0.0	8187.4861	Attention
8195.312796	0.0	8187.4861	Attention
8195.477546	1.0	8187.4861	Attention
8195.506596	0.0	8187.4861	Attention
8195.507696	0.0	8187.4861	Attention
8195.508996	0.0	8187.4861	Attention
8195.510396	0.0	8187.4861	Attention
8195.511546	0.0	8187.4861	Attention
8195.512696	0.0	8187.4861	Attention
8195.715646	0.0	8187.4861	Attention
8195.716846	0.0	8187.4861	Attention
8195.718346	0.0	8187.4861	Attention
8195.721346	0.0	8187.4861	Attention
8195.723146	0.0	8187.4861	Attention
8197.458296	0.0	8187.4861	Attention
8197.459546	0.0	8187.4861	Attention
8197.460696	0.0	8187.4861	Attention
8197.464096	0.0	8187.4861	Attention
8197.672396	0.0	8187.4861	Attention
8197.674146	0.0	8187.4861	Attention
8197.675146	0.0	8187.4861	Attention
8197.676346	0.0	8187.4861	Attention
8197.683296	0.0	8187.4861	Attention
8198.261896	1.0	8187.4861	Attention
8198.279696	0.0	8187.4861	Attention
8198.280996	0.0	8187.4861	Attention
8199.932796	0.0	8187.4861	Attention
8199.934346	0.0	8187.4861	Attention
8201.571546	0.0	8187.4861	Attention
8201.775296	1.0	8187.4861	Attention
8208.746646	1.0	8204.945	Gratitude
8208.831746	1.0	8204.945	Gratitude
8208.869296	1.0	8204.945	Gratitude
8209.604146	0.0	8204.945	Gratitude
8209.776096	0.0	8204.945	Gratitude
8211.873896	1.0	8204.945	Gratitude
8211.912396	1.0	8204.945	Gratitude
8212.021446	1.0	8204.945	Gratitude
8212.167446	1.0	8204.945	Gratitude
8212.213596	1.0	8204.945	Gratitude
8212.303896	1.0	8204.945	Gratitude
8212.970296	1.0	8204.945	Gratitude
8214.885696	1.0	8204.945	Gratitude
8215.039196	0.0	8204.945	Gratitude
8215.040246	0.0	8204.945	Gratitude
8215.041296	0.0	8204.945	Gratitude
8215.045946	0.0	8204.945	Gratitude
8223.342596	0.0	8221.6651	Calming
8223.615146	1.0	8221.6651	Calming
8223.674296	1.0	8221.6651	Calming
8223.729046	1.0	8221.6651	Calming
8223.833796	1.0	8221.6651	Calming
8224.133396	1.0	8221.6651	Calming
8224.569896	1.0	8221.6651	Calming
8224.771996	1.0	8221.6651	Calming
8224.800996	1.0	8221.6651	Calming
8224.876046	1.0	8221.6651	Calming
8224.898296	1.0	8221.6651	Calming
8224.919996	1.0	8221.6651	Calming
8224.941996	1.0	8221.6651	Calming
8228.472446	1.0	8221.6651	Calming
8229.266846	1.0	8221.6651	Calming
8229.345846	1.0	8221.6651	Calming
8229.373596	1.0	8221.6651	Calming
8229.399296	1.0	8221.6651	Calming
8229.425046	1.0	8221.6651	Calming
8229.451046	1.0	8221.6651	Calming
8232.637046	1.0	8221.6651	Calming
8240.706796	1.0	8238.5645	Sadness
8240.892596	1.0	8238.5645	Sadness
8240.957146	1.0	8238.5645	Sadness
8241.255546	1.0	8238.5645	Sadness
8241.963546	1.0	8238.5645	Sadness
8246.940296	0.0	8238.5645	Sadness
8260.167796	1.0	8255.2877	Love
8262.413396	1.0	8255.2877	Love
8267.741596	0.0	8255.2877	Love
8274.535746	1.0	8255.2877	Love
8274.774546	1.0	8255.2877	Love
8282.954346	1.0	8280.3653	Calming
8282.998646	1.0	8280.3653	Calming
8283.571396	1.0	8280.3653	Calming
8283.697646	1.0	8280.3653	Calming
8283.731996	1.0	8280.3653	Calming
8287.995046	0.0	8280.3653	Calming
8288.115846	1.0	8280.3653	Calming
8288.202546	1.0	8280.3653	Calming
8288.249396	1.0	8280.3653	Calming
8288.274246	0.0	8280.3653	Calming
8288.301646	1.0	8280.3653	Calming
8288.332896	1.0	8280.3653	Calming
8288.370796	1.0	8280.3653	Calming
8291.790346	1.0	8280.3653	Calming
8291.846946	1.0	8280.3653	Calming
8291.869796	1.0	8280.3653	Calming
8309.368346	1.0	8307.1069	Gratitude
8309.563696	1.0	8307.1069	Gratitude
8309.620096	1.0	8307.1069	Gratitude
8309.682546	1.0	8307.1069	Gratitude
8309.736546	1.0	8307.1069	Gratitude
8309.854946	1.0	8307.1069	Gratitude
8309.939896	1.0	8307.1069	Gratitude
8310.060396	1.0	8307.1069	Gratitude
8310.162546	1.0	8307.1069	Gratitude
8310.264646	1.0	8307.1069	Gratitude
8310.471846	1.0	8307.1069	Gratitude
8311.161946	1.0	8307.1069	Gratitude
8311.697346	1.0	8307.1069	Gratitude
8311.909296	1.0	8307.1069	Gratitude
8312.769746	1.0	8307.1069	Gratitude
8312.842696	1.0	8307.1069	Gratitude
8312.973846	0.0	8307.1069	Gratitude
8313.212246	0.0	8307.1069	Gratitude
8313.213996	0.0	8307.1069	Gratitude
8315.936596	0.0	8307.1069	Gratitude
8315.937846	0.0	8307.1069	Gratitude
8315.939146	0.0	8307.1069	Gratitude
8315.940796	0.0	8307.1069	Gratitude
8315.941846	0.0	8307.1069	Gratitude
8315.943396	0.0	8307.1069	Gratitude
8315.944396	0.0	8307.1069	Gratitude
8316.372846	0.0	8307.1069	Gratitude
8318.234696	1.0	8307.1069	Gratitude
8318.437696	1.0	8307.1069	Gratitude
8325.426996	0.0	8324.5781	Attention
