 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
786.2800499	0.0	775.36	Sadness
787.0497499	1.0	775.36	Sadness
787.0678499	1.0	775.36	Sadness
787.0828999	1.0	775.36	Sadness
787.0980999	1.0	775.36	Sadness
787.1368499	1.0	775.36	Sadness
787.1431499	1.0	775.36	Sadness
791.5317499	0.0	775.36	Sadness
792.6446499	0.0	775.36	Sadness
796.4002499	1.0	796.383	Happiness
796.4789499	1.0	796.383	Happiness
796.4836999	1.0	796.383	Happiness
796.4887499	1.0	796.383	Happiness
796.8226999	1.0	796.383	Happiness
796.8754999	1.0	796.383	Happiness
796.8911999	1.0	796.383	Happiness
797.1985999	1.0	796.383	Happiness
798.3033499	1.0	796.383	Happiness
798.4110499	1.0	796.383	Happiness
798.6366999	1.0	796.383	Happiness
798.6410999	1.0	796.383	Happiness
798.8991499	1.0	796.383	Happiness
798.9031999	1.0	796.383	Happiness
799.9752999	1.0	796.383	Happiness
800.1415999	1.0	796.383	Happiness
800.1550999	1.0	796.383	Happiness
801.4959999	1.0	796.383	Happiness
801.4993499	1.0	796.383	Happiness
801.6215999	1.0	796.383	Happiness
801.8349499	1.0	796.383	Happiness
802.3350499	1.0	796.383	Happiness
803.0905499	1.0	796.383	Happiness
803.2055499	1.0	796.383	Happiness
803.3692499	1.0	796.383	Happiness
804.5523999	0.0	796.383	Happiness
804.6470999	1.0	796.383	Happiness
804.8519499	1.0	796.383	Happiness
804.8873999	1.0	796.383	Happiness
804.8909499	1.0	796.383	Happiness
804.9549999	1.0	796.383	Happiness
804.9751999	1.0	796.383	Happiness
804.9831499	1.0	796.383	Happiness
804.9892999	1.0	796.383	Happiness
804.9934999	1.0	796.383	Happiness
805.1432499	1.0	796.383	Happiness
805.1473499	1.0	796.383	Happiness
805.1991999	1.0	796.383	Happiness
805.2054999	1.0	796.383	Happiness
805.2124999	1.0	796.383	Happiness
805.2310999	1.0	796.383	Happiness
805.2496499	1.0	796.383	Happiness
805.2739999	1.0	796.383	Happiness
805.2822999	1.0	796.383	Happiness
805.2873999	1.0	796.383	Happiness
805.2956999	1.0	796.383	Happiness
805.4041999	1.0	796.383	Happiness
805.4088499	1.0	796.383	Happiness
805.4119999	1.0	796.383	Happiness
805.4955499	1.0	796.383	Happiness
805.5159499	1.0	796.383	Happiness
805.5256999	1.0	796.383	Happiness
805.5344499	1.0	796.383	Happiness
806.3885499	1.0	796.383	Happiness
806.3970999	1.0	796.383	Happiness
806.4028499	1.0	796.383	Happiness
806.6077999	1.0	796.383	Happiness
806.6142499	1.0	796.383	Happiness
806.7043999	1.0	796.383	Happiness
806.9051499	1.0	796.383	Happiness
806.9759499	1.0	796.383	Happiness
806.9952499	1.0	796.383	Happiness
807.0623499	1.0	796.383	Happiness
807.7655999	1.0	796.383	Happiness
807.7696499	1.0	796.383	Happiness
807.8425499	1.0	796.383	Happiness
808.0296499	1.0	796.383	Happiness
808.0331499	1.0	796.383	Happiness
808.0694499	1.0	796.383	Happiness
808.1146499	1.0	796.383	Happiness
808.1417999	1.0	796.383	Happiness
808.1854999	1.0	796.383	Happiness
808.1950499	1.0	796.383	Happiness
808.3392999	1.0	796.383	Happiness
808.3432499	1.0	796.383	Happiness
808.3467999	1.0	796.383	Happiness
808.4383499	1.0	796.383	Happiness
808.7334999	1.0	796.383	Happiness
808.7480999	1.0	796.383	Happiness
816.0672999	1.0	816.005	Calming
